,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
154,806061,True,0.3333333333333333,0.6513389472789296,2.0,0.0,526336,aol.com,0.26666666666666666,0.0,0.44221663871405337,100.0,0.7333333333333333,1.0,0.4422166387140533,100.0
155,810137,True,0.08333333333333333,0.2886751345948129,1.0,0.0,568887,yahoomail.jp,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
156,814251,True,0.08333333333333333,0.2886751345948129,1.0,0.0,816128,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
157,815824,True,0.08333333333333333,0.2886751345948129,1.0,0.0,22078,uol.com.br,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
158,824076,True,0.08333333333333333,0.2886751345948129,1.0,0.0,64000,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
159,832575,True,0.08333333333333333,0.2886751345948129,1.0,0.0,11776,attachmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
160,832587,True,0.75,0.7537783614444091,2.0,0.0,15565,qq.com,0.8,1.0,0.4,100.0,2.1059142275090577,2.23606797749979,0.17830292493842184,66.66666666666667
161,833673,True,0.08333333333333333,0.2886751345948129,1.0,0.0,5726736,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
162,838708,True,0.08333333333333333,0.2886751345948129,1.0,0.0,799744,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
163,839723,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
164,841031,True,0.08333333333333333,0.2886751345948129,1.0,0.0,87552,interia.pl,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
165,844749,True,0.16666666666666666,0.5773502691896257,2.0,0.0,918528,cldmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
166,844930,True,0.08333333333333333,0.2886751345948129,1.0,0.0,33733,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
167,852987,True,0.08333333333333333,0.2886751345948129,1.0,0.0,278528,cldmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
168,858553,True,0.25,0.4522670168666454,1.0,0.0,112640,yandex.ru,0.0,0.0,0.0,100.0,1.2858933329115283,1.4142135623730951,0.3827248834001805,100.0
169,859822,True,0.08333333333333333,0.2886751345948129,1.0,0.0,206366,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
